,Titre,Description
29,Guerre en Ukraine : Kiev a frappé un chantier naval en Crimée occupée par la Russie,"L’Ukraine a tiré 15 missiles de croisière dont 13 ont été interceptés, selon la Russie. Les tirs ont endommagé un navire et entraîné la chute de débris sur un quai."
30,Conflit Israël-Hamas : l'armée israélienne affirme avoir coupé la bande de Gaza en deux,"Des frappes «significatives» ont été menées dimanche à Gaza après une nouvelle coupure de téléphone et d’Internet. Le Hamas accuse Tsahal de viser les hôpitaux, tandis que l’armée israélienne a rendu publiques des images montrant des tirs de missile en partance de ces établissements."
31,Pourquoi le monde se désintéresse progressivement de la guerre en Ukraine,"DÉCRYPTAGE - Depuis l’attaque barbare du Hamas sur le sol israélien et la réplique de Tsahal, la guerre en Ukraine se trouve reléguée au second plan. En réalité, ce phénomène s’observe depuis plusieurs mois."
32,Allemagne : la prise d'otage à l'aéroport de Hambourg est terminée,"La police allemande était engagée depuis samedi soir dans de longues négociations pour convaincre un père de famille, armé et soupçonné de détenir des explosifs, de relâcher sa fille de 4 ans qu’il retenait en otage."
33,"La guerre en Ukraine n'est pas dans une «impasse», estime Zelensky","Alors que la contre-offensive tarde à donner des résultats, un commandant de l’armée ukrainienne avait affirmé dans la semaine qu’il n’y aurait «probablement pas de percée magnifique et profonde»."
34,"New Delhi étouffée par la pollution, 40 fois supérieure au maximum recommandé par l’OMS","EN IMAGES - Les écoles de la capitale indienne, déjà fermées vendredi et samedi, le resteront jusqu’à la fin de la semaine. Les critiques accusent le gouvernement d'ignorer délibérément la part de l'agriculture, puissant lobby électoral, dans cette pollution."
35,La secrétaire générale de l’OIF Louise Mushikiwabo au Figaro: «Les jeunes et les femmes sont les priorités de la francophonie»,"ENTRETIEN EXCLUSIF - De nationalité rwandaise, la secrétaire générale de l’Organisation internationale de la francophonie affirme son opposition à l’écriture inclusive et décrypte les raisons de la crise politique ainsi que du sentiment antifrançais qui secouent l’Afrique actuellement."
36,Guerre en Ukraine : 20 soldats tués par un tir de missile russe lors d’une cérémonie de remise de décorations,"Le ministre ukrainien de la Défense, Rustem Umerov, a qualifié l'incident de «tragédie» et ordonné une enquête approfondie."
37,Guerre en Ukraine : Kiev a frappé un chantier naval en Crimée occupée par la Russie,"L’Ukraine a tiré 15 missiles de croisière dont 13 ont été interceptés, selon la Russie. Les tirs ont endommagé un navire et entraîné la chute de débris sur un quai."
38,Conflit Israël-Hamas : l'armée israélienne affirme avoir coupé la bande de Gaza en deux,"Des frappes «significatives» ont été menées dimanche à Gaza après une nouvelle coupure de téléphone et d’Internet. Le Hamas accuse Tsahal de viser les hôpitaux, tandis que l’armée israélienne a rendu publiques des images montrant des tirs de missile en partance de ces établissements."
